Date,Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Target_Group
2022-06-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),37.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Start Closing More,6.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),3.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-06-03,NA,NA,NA,NA,NA,NA,Get Approved,3.0,General traffic,NA
2022-06-03,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),4.0,General traffic,NA
2022-06-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),21.0,General traffic,NA
2022-06-03,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-06-03,NA,NA,NA,NA,NA,NA,Start Closing More,5.0,General traffic,NA
2022-06-04,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
2022-06-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-06-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),24.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Start Closing More,4.0,General traffic,NA
2022-06-07,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),22.0,General traffic,NA
2022-06-07,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),2.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),30.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-06-09,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-06-09,NA,NA,NA,NA,NA,NA,Learn More (Closer Twins Banner),1.0,General traffic,NA
2022-06-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),36.0,General traffic,NA
2022-06-09,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-06-10,NA,NA,NA,NA,NA,NA,Get Approved,2.0,General traffic,NA
2022-06-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),13.0,General traffic,NA
2022-06-10,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-06-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-06-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-13,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),23.0,General traffic,NA
2022-06-13,NA,NA,NA,NA,NA,NA,Start Closing More,3.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-23,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-23,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-26,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
