Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Days_Max_Date,Unnamed: 12,Goal.1
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,62,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,46,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,42,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,38,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,20,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,12,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,7,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,4,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),22,General traffic,0,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,150,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,172,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,167,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,151,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,166,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,200,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,192,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,180,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,165,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,147,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,111,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,109,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,96,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,91,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,84,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,89,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,77,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,74,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,68,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,47,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,39,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,40,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,28,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,33,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,27,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,26,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,17,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,14,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,11,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,5,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),21,General traffic,0,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,189,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,178,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,166,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,203,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,192,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,157,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,175,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,165,NA,NA
(not set),NA,(not set),(not set),NA,NA,Start Closing More,20,General traffic,165,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,210,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,209,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,208,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,207,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,199,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,194,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,207,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,203,NA,NA
(not set),NA,(not set),(not set),NA,NA,Learn More (Community Mortgage),20,General traffic,210,NA,NA
