Date,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Campaign_Traffic,Total_Sessions,Total_Bounces,Total_Duration
2022-08-16,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,2,0,0.0
2022-06-12,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0.0
2022-08-23,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,51.0
2022-07-19,4,CloseFaster,MoreAll,Domain Display,NA,Campaign,2,0,365.0
2022-04-27,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0.0
2022-09-18,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,13,0,0.0
2022-07-14,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,1339.0
2022-04-18,2,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0.0
2022-07-07,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,16,0,115.0
2022-09-03,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0.0
2022-09-19,5,CloseFaster,MoreNoReg,User ID Display,NA,Campaign,16,0,0.0
2022-05-12,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,8,0,0.0
2022-04-21,NA,NA,NA,NA,NA,General traffic,1789,4,169223.999999999
2022-07-06,2,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0.0
2022-06-27,6,Trade Media Ads,NA,Trade Media,Nmn_partner_insight_2,General traffic,3,0,32.0
2022-08-09,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,8,0,0.0
2022-09-10,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,12,0,0.0
2022-04-27,1,CloserTwins,Paperwork,Facebook,Video,Campaign,3,0,4.0
2022-04-25,2,CloseFaster,NoDTI,Facebook,Single image,Campaign,3,0,0.0
2022-09-22,NA,NA,NA,NA,NA,General traffic,3505,403,1154086.99999999
2022-08-04,2,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0.0
2022-07-17,2,CloserTwins,Faceoff1,Facebook,Video,Campaign,1,0,0.0
2022-07-28,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,24,0,0.0
2022-09-01,1,UnfairAdvantage,1099,User ID Display,Single image,Campaign,10,0,0.0
2022-05-23,4,UnfairAdvantage,1page,LinkedIn,Single image,Campaign,4,0,71.0
2022-08-19,2,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0.0
2022-08-25,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,4,0,0.0
2022-06-02,4,CloseFaster,FasterAll,Domain Display,NA,Campaign,2,0,0.0
2022-10-16,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-20,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,2,0,0.0
2022-09-16,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,34,0,0.0
2022-09-08,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,33,0,0.0
2022-09-13,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,5,0,0.0
2022-06-05,3,CloserTwins,Faceoff1,Facebook,Video,Campaign,1,0,0.0
2022-07-09,3,CloserTwins,Cutdown1A,Facebook,Video,Campaign,2,0,0.0
2022-07-03,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-09-06,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,8,0,8.0
2022-09-01,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,7,0,0.0
2022-07-17,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,4,0,0.0
2022-08-31,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,3,0,0.0
2022-04-07,6,CompetitiveOpportunity,Theycancelweclose,Domain Display,Single image,Campaign,10,0,16.0
2022-10-18,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,20,0,0.0
2022-09-06,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,1,0,0.0
2022-05-14,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,4,0,0.0
2022-09-30,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,0.0
2022-10-26,4,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,21,0,3.99999999999999
2022-07-02,1,CloserTwins,Cutdown1B,Facebook,Video,Campaign,1,0,0.0
2022-05-05,1,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,1,0,0.0
2022-07-15,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,3,0,0.0
2022-08-01,3,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,20,0,0.0
2022-10-19,3,UnfairAdvantage,OnePage,User ID Display,NA,Campaign,6,0,0.0
2022-09-05,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-24,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-08-12,NA,NA,NA,NA,NA,General traffic,1900,317,704264.999999999
2022-06-07,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0.0
2022-05-19,4,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,3,0,0.0
2022-06-17,2,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0.0
2022-07-20,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0.0
2022-09-17,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,18,0,0.0
2022-09-28,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0.0
2022-10-26,NA,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,2396.0
2022-07-25,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,8,0,0.0
2022-10-06,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,98.0
2022-07-21,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,65,0,8029.99999999999
2022-07-17,5,UnfairAdvantage,1099,Domain Display,Single image,Campaign,11,0,52.9999999999999
2022-04-29,6,CloserTwins,OTT_30QR,OTT,Video,Campaign,10,0,57.0
2022-09-08,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,44,0,0.0
2022-07-27,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,5,0,0.0
